cat_pais,ncat_eleccion,ncat_ronda,nombres_candidatos,ninvitaciones,source_invitaciones
Colombia,2022,1,John Milton Rodriguez,10,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2022,1,Luis Perez,10,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2022,1,Rodolfo Hernandez,20,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2022,1,Sergio Fajardo,20,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,1986,1,Oscar Arias Sanchez,1,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,1986,1,Rafael Calderon Fournier,1,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,1998,1,Jose Miguel Corrales Bolanos,2,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,1998,1,Miguel Angel Rodriguez Echeverria,2,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2002,1,Abel Pacheco de la Espriella,2,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2002,1,Daniel Reynolds Vargas,1,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2002,1,Jorge Walter Coto Molina,1,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2002,1,Jose Hine Garcia,1,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2002,1,Justo Orozco Alvarez,1,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2002,1,Marvin Calvo Montoya,1,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2002,1,Otto Guevara,1,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2002,1,Otton Solis,1,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2002,1,Pablo Galo Angulo Casasola,1,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2002,1,Rolando Angulo Zeledon,1,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2002,1,Rolando Araya,2,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2002,1,Vladimir de la Cruz de Lemos,1,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2002,1,Walter Munoz,1,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2002,2,Abel Pacheco de la Espriella,2,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2002,2,Rolando Araya,2,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2006,1,Abel Pacheco de la Espriella,1,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2006,1,Alvaro Montero,2,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2006,1,Antonio Alvarez Desanti,2,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2006,1,Bolivar Serrano Hidalgo,2,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2006,1,Humberto Arce,2,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2006,1,Humberto Vargas,1,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2006,1,Jose Manuel Echandi,2,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2006,1,Jose Miguel Villalobos,2,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2006,1,Juan Jose Vargas Fallas,2,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2006,1,Oscar Arias,2,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2006,1,Otto Guevara,2,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2006,1,Otton Solis,2,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2006,1,Ricardo Toledo,2,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2006,1,Vladimir de la Cruz,2,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2006,1,Walter Munoz,2,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2010,1,Eugenio Trejos,1,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2010,1,Laura Chinchilla,4,Elaboracion propia con base en Franco Hantzsch (2022)
Costa Rica,2010,1,Luis Fishman,2,Elaboracion propia con base en Franco Hantzsch (2022)
