"","cat_pais","ncat_eleccion","ncat_ronda","nombres_candidatos","anio","vote_share","vs_vote_share","party_name","vs_party_name","status","vs_status","source_str_vote_share","source_url_vote_share"
"188","Peru",2021,1,"Jose Vega",NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Peru",2021,1,"Julio Guzman",NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Peru",2021,1,"Rafael Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Peru",2021,1,"Ciro Galvez",NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Peru",2021,1,"Rafael Lopez Aliaga",NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Peru",2021,1,"Daniel Salaverry",NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Peru",2021,2,"Keiko Fujimori Higuchi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Peru",2021,2,"Pedro Castillo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Paraguay",2003,1,"Nicanor Duarte Frutos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Paraguay",2003,1,"Julio Cesar Franco",2003,"24,03",NA,"Partido Liberal Radical Auténtico","PLRA","Desafiante",NA,"Friedenberg (2016a)",""
"198","Paraguay",2003,1,"Pedro Fadul",2003,"21,3","","Patria Querida","","Desafiante","","Friedenberg (2016a)",""
"199","Paraguay",2003,1,"Guillermo Sanchez Guffanti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Paraguay",2003,1,"Diego Abente",NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Paraguay",2008,1,"Lino Oviedo",2008,"22","","UNACE","UNACE","Desafiante","","Friedenberg (2016a)",""
"202","Paraguay",2008,1,"Blanca Odelard",NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Paraguay",2008,1,"Pedro Fadul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Paraguay",2008,1,"Fernando Lugo",2008,"41,19",NA,"PDC-APC","","Desafiante",NA,"Friedenberg (2016a)",""
"205","Paraguay",2013,1,"Horacio Cartes",2013,"45,68",NA,"ANR-PC","ANR","Desafiante",NA,"Friedenberg (2016a)",""
"206","Paraguay",2013,1,"Efrain Alegre",NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Paraguay",2013,1,"Miguel Carrizosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Paraguay",2013,1,"Mario Ferreiro",NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Paraguay",2013,1,"Lino Oviedo",2013,"0,81","","UNACE","UNACE","","","Friedenberg (2016a)",""
"210","Paraguay",2013,1,"Anibal Carrillo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Paraguay",2018,1,"Efrain Alegre",NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Paraguay",2018,1,"Mario Abdo Benitez",2018,"46,42",NA,"ANR-PC",NA,"Incumbent",NA,"Freidenberg (2024)","https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231067"
"213","Paraguay",2023,1,"Paraguayo Cubas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Paraguay",2023,1,"Euclides Acevedo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Paraguay",2023,1,"Jorge Gomez Otano",NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Paraguay",2023,1,"Luis Talavera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Paraguay",2023,1,"Alfredo Luis Machuca Doldan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Ecuador",1979,1,"Jaime Roldos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Ecuador",1979,1,"Sixto Duran Ballen",1979,"23,86",NA,"Partido Social Cristiano (PSC)","PSC",NA,NA,"Friedenberg (2016a)",""
"220","Ecuador",1979,1,"Raul Clemente Huerta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Ecuador",1979,1,"Rodrigo Borja",NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Ecuador",1979,1,"Abdon Calderon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Ecuador",1979,1,"Rene Mauge",NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Ecuador",1979,2,"Sixto Duran Ballen",1979,"31,51",NA,"Partido Social Cristiano (PSC)","PSC",NA,NA,"Friedenberg (2016a)",""
"225","Ecuador",1979,2,"Jaime Roldos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Ecuador",1984,2,"Rodrigo Borja",1984,"48,46",NA,"Izquierda Democrática","ID",NA,NA,"Friedenberg (2016a)",""
"227","Ecuador",1984,2,"Leon Febres Cordero",1984,"51,54",NA,"Partido Social Cristiano (PSC)","PSC","Desafiante",NA,"Friedenberg (2016a)",""
"228","Ecuador",2006,1,"Rafael Correa",2006,"22,84",NA,"ALIANZA PAIS","ALIANZA PAIS","Desafiante",NA,"Friedenberg (2016a)",""
"229","Ecuador",2006,1,"Cynthia Viteri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Ecuador",2006,1,"Leon Roldos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Ecuador",2006,1,"Fernando Rosero",NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Ecuador",2006,1,"Alvaro Noboa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Ecuador",2013,1,"Lucio Gutierrez",NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Ecuador",2013,1,"Alvaro Noboa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Ecuador",2013,1,"Nelson Zavala",NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Ecuador",2013,1,"Guillermo Lasso",2013,"22,68",NA,"Creo","Creo","Desafiante",NA,"Friedenberg (2016a)",""
"237","Ecuador",2013,1,"Mauricio Rodas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Ecuador",2013,1,"Norman Wray",NA,NA,NA,NA,NA,NA,NA,NA,NA
