"","cat_pais","ncat_eleccion","ncat_ronda","satisfaccion","source_satisfaccion"
"193","Paraguay",2008,1,0.215711120640366,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"194","Paraguay",2013,1,0.238736203090507,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"195","Paraguay",2018,1,0.321670792079208,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"196","Paraguay",2023,1,0.255974409448818,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"197","Peru",1980,1,NA,NA
"198","Peru",1985,1,NA,NA
"199","Peru",1990,1,NA,NA
"200","Peru",1990,2,NA,NA
"201","Peru",1995,1,0.438009787928222,"Promedio de valores provenientes de:Latinobarometro"
"202","Peru",2000,1,0.238049713193117,"Promedio de valores provenientes de:Latinobarometro"
"203","Peru",2000,2,0.238049713193117,"Promedio de valores provenientes de:Latinobarometro"
"204","Peru",2001,1,0.163245356793744,"Promedio de valores provenientes de:Latinobarometro"
"205","Peru",2001,2,0.163245356793744,"Promedio de valores provenientes de:Latinobarometro"
"206","Peru",2006,1,0.2885,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"207","Peru",2006,2,0.2885,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"208","Peru",2011,1,0.341833333333333,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"209","Peru",2011,2,0.341833333333333,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"210","Peru",2016,1,0.287175890945725,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"211","Peru",2016,2,0.287175890945725,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"212","Peru",2021,1,0.104780831687514,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"213","Peru",2021,2,0.104780831687514,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"214","Republica Dominicana",1978,1,NA,NA
"215","Republica Dominicana",1982,1,NA,NA
"216","Republica Dominicana",1986,1,NA,NA
"217","Republica Dominicana",1990,1,NA,NA
"218","Republica Dominicana",1994,1,NA,NA
"219","Republica Dominicana",1996,1,NA,NA
"220","Republica Dominicana",1996,2,NA,NA
"221","Republica Dominicana",2000,1,NA,NA
"222","Republica Dominicana",2004,1,NA,NA
"223","Republica Dominicana",2008,1,NA,NA
"224","Republica Dominicana",2012,1,NA,NA
"225","Republica Dominicana",2016,1,NA,NA
"226","Republica Dominicana",2020,1,NA,NA
"227","Uruguay",1984,1,NA,NA
"228","Uruguay",1989,1,NA,NA
"229","Uruguay",1994,1,0.566006600660066,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible Latinobarometro"
"230","Uruguay",1999,1,0.676666666666667,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible Latinobarometro"
"231","Uruguay",1999,2,0.676666666666667,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible Latinobarometro"
"232","Uruguay",2004,1,0.439166666666667,"Promedio de valores provenientes de:Latinobarometro"
"233","Uruguay",2009,1,0.7705,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"234","Uruguay",2009,2,0.7705,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"235","Uruguay",2014,1,0.785072751322752,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"236","Uruguay",2014,2,0.785072751322752,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"237","Uruguay",2019,1,0.577938013915243,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Proyectado. Ultimo valor disponible Latinobarometro"
"238","Uruguay",2019,2,0.577938013915243,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Proyectado. Ultimo valor disponible Latinobarometro"
"239","Venezuela",1958,1,NA,NA
"240","Venezuela",1963,1,NA,NA
