"","cat_pais","ncat_eleccion","ncat_ronda","avgpropdebatesregionxciclo","lagpropdebatesregion","lagndebatesregion","source_region"
"198","Brasil",2022,1,0.693452380952381,0.857142857142857,6,"Calculo con base en data recabada para Franco H. (2022)"
"199","Argentina",2015,1,0.645833333333333,0.75,9,"Calculo con base en data recabada para Franco H. (2022)"
"200","Argentina",2023,1,0.735119047619048,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)"
"201","Chile",2000,1,0.441666666666667,0.5,4,"Calculo con base en data recabada para Franco H. (2022)"
"202","Chile",2006,1,0.433333333333333,0.25,1,"Calculo con base en data recabada para Franco H. (2022)"
"203","Chile",2010,1,0.527777777777778,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"204","Chile",2013,1,0.666666666666667,0.333333333333333,1,"Calculo con base en data recabada para Franco H. (2022)"
"205","Chile",2017,1,0.833333333333333,0.75,3,"Calculo con base en data recabada para Franco H. (2022)"
"206","Chile",2021,1,0.679166666666667,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"207","Peru",1990,1,0.305555555555556,0.555555555555556,5,"Calculo con base en data recabada para Franco H. (2022)"
"208","Peru",2000,1,0.3,0.25,2,"Calculo con base en data recabada para Franco H. (2022)"
"209","Peru",2001,1,0.166666666666667,0.166666666666667,1,"Calculo con base en data recabada para Franco H. (2022)"
"210","Peru",2006,1,0.533333333333333,0.666666666666667,2,"Calculo con base en data recabada para Franco H. (2022)"
"211","Peru",2011,1,0.591666666666667,1,6,"Calculo con base en data recabada para Franco H. (2022)"
"212","Peru",2016,1,0.716666666666667,1,4,"Calculo con base en data recabada para Franco H. (2022)"
"213","Peru",2021,1,0.693333333333333,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"214","Ecuador",1979,1,0.133333333333333,0.166666666666667,1,"Calculo con base en data recabada para Franco H. (2022)"
"215","Ecuador",1984,1,0.273333333333333,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"216","Ecuador",1988,1,0.333333333333333,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"217","Ecuador",1992,1,0.246031746031746,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"218","Ecuador",1996,1,0.5375,0.25,1,"Calculo con base en data recabada para Franco H. (2022)"
"219","Ecuador",1998,1,0.25,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"220","Ecuador",2002,1,0.291666666666667,0.25,1,"Calculo con base en data recabada para Franco H. (2022)"
"221","Ecuador",2006,1,0.604166666666667,0.666666666666667,2,"Calculo con base en data recabada para Franco H. (2022)"
"222","Ecuador",2017,1,0.833333333333333,0.75,3,"Calculo con base en data recabada para Franco H. (2022)"
"223","Ecuador",2021,1,0.679166666666667,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"224","Ecuador",2023,1,0.845238095238095,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)"
"225","Uruguay",1999,1,0.37,0.5,4,"Calculo con base en data recabada para Franco H. (2022)"
"226","Uruguay",2009,1,0.5,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"227","Uruguay",2014,1,0.641666666666667,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)"
"228","Uruguay",2019,1,0.793333333333333,0.666666666666667,6,"Calculo con base en data recabada para Franco H. (2022)"
"229","Guatemala",1985,1,0.344444444444444,0.333333333333333,2,"Calculo con base en data recabada para Franco H. (2022)"
"230","Guatemala",1991,1,0.305555555555556,0.555555555555556,5,"Calculo con base en data recabada para Franco H. (2022)"
"231","Guatemala",1995,1,0.475,0.6,6,"Calculo con base en data recabada para Franco H. (2022)"
"232","Guatemala",1999,1,0.3125,0.5,4,"Calculo con base en data recabada para Franco H. (2022)"
"233","Guatemala",2003,1,0.354166666666667,0.75,6,"Calculo con base en data recabada para Franco H. (2022)"
"234","Guatemala",2007,1,0.604166666666667,0.75,9,"Calculo con base en data recabada para Franco H. (2022)"
"235","Guatemala",2011,1,0.552083333333333,1,6,"Calculo con base en data recabada para Franco H. (2022)"
"236","Guatemala",2015,1,0.645833333333333,0.75,9,"Calculo con base en data recabada para Franco H. (2022)"
