"","cat_pais","ncat_eleccion","nombres_candidatos","npresenciaspasadas","nausenciaspasadas","dicopresenciaspasadas","dicoausenciaspasadas","source_participaciones"
"218","Ecuador",2006,"Luis Macas Ambuludi",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"219","Ecuador",2006,"Rafael Correa",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"220","Mexico",2006,"Andres Manuel Lopez Obrador",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"221","Mexico",2006,"Felipe Calderon",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"222","Mexico",2006,"Patricia Mercado",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"223","Mexico",2006,"Roberto Campa",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"224","Mexico",2006,"Roberto Madrazo",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"225","Nicaragua",2006,"Daniel Ortega",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"226","Nicaragua",2006,"Eden Pastora",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"227","Nicaragua",2006,"Edmundo Jarquin",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"228","Nicaragua",2006,"Eduardo Montealegre",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"229","Nicaragua",2006,"Jose Rizo",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"230","Peru",2006,"Alan Garcia Perez",1,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"231","Peru",2006,"Ollanta Moises Humala Tasso",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"232","Guatemala",2007,"Alejandro Giammattei",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
