"","cat_pais","ncat_eleccion","ncat_ronda","edadregimenppolity","source_edadregimenppolity","edadregimenbmr","source_edadregimenbmr","edadregimenmainw","source_edadregimenmainw","edadregimenfilled","source_edadregimenfilled"
"103","Ecuador",1992,2,13,"Base Qof p_durable",14,"Base Qof bmr_demdur",13,"Mainwaring & Su (2021) - age_demo",14,"14"
"104","Ecuador",1992,1,13,"Base Qof p_durable",14,"Base Qof bmr_demdur",13,"Mainwaring & Su (2021) - age_demo",14,"14"
"105","Ecuador",1996,2,17,"Base Qof p_durable",18,"Base Qof bmr_demdur",17,"Mainwaring & Su (2021) - age_demo",18,"18"
"106","Ecuador",1996,1,17,"Base Qof p_durable",18,"Base Qof bmr_demdur",17,"Mainwaring & Su (2021) - age_demo",18,"18"
"107","Ecuador",1998,2,19,"Base Qof p_durable",20,"Base Qof bmr_demdur",19,"Mainwaring & Su (2021) - age_demo",20,"20"
"108","Ecuador",1998,1,19,"Base Qof p_durable",20,"Base Qof bmr_demdur",19,"Mainwaring & Su (2021) - age_demo",20,"20"
"109","Ecuador",2002,2,2,"Base Qof p_durable",3,"Base Qof bmr_demdur",23,"Mainwaring & Su (2021) - age_demo",3,"3"
"110","Ecuador",2002,1,2,"Base Qof p_durable",3,"Base Qof bmr_demdur",23,"Mainwaring & Su (2021) - age_demo",3,"3"
"111","Ecuador",2006,2,6,"Base Qof p_durable",4,"Base Qof bmr_demdur",27,"Mainwaring & Su (2021) - age_demo",4,"4"
"112","Ecuador",2006,1,6,"Base Qof p_durable",4,"Base Qof bmr_demdur",27,"Mainwaring & Su (2021) - age_demo",4,"4"
"113","Ecuador",2009,1,9,"Base Qof p_durable",7,"Base Qof bmr_demdur",30,"Mainwaring & Su (2021) - age_demo",7,"7"
"114","Ecuador",2013,1,13,"Base Qof p_durable",11,"Base Qof bmr_demdur",34,"Mainwaring & Su (2021) - age_demo",11,"11"
"115","Ecuador",2017,2,17,"Base Qof p_durable",15,"Base Qof bmr_demdur",38,"Mainwaring & Su (2021) - age_demo",15,"15"
"116","Ecuador",2017,1,17,"Base Qof p_durable",15,"Base Qof bmr_demdur",38,"Mainwaring & Su (2021) - age_demo",15,"15"
"117","Ecuador",2021,2,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",19,"19"
