"","cat_pais","ncat_eleccion","average_confianza_tv","average_confianza_ppols","median_confianza_tv","median_confianza_ppols","sd_confianza_tv","sd_confianza_ppols","dico_confianza_tv_0","dico_confianza_tv_1","dico_confianza_tv_2","dico_confianza_tv_3","dico_confianza_ppols_0","dico_confianza_ppols_1","dico_confianza_ppols_2","dico_confianza_ppols_3","average_dias_tv","median_dias_tv","sd_dias_tv"
"32","Bolivia",2005,1.35,0.533502968617472,1,0,0.872304179478585,0.719263578741655,188,499,352,121,694,355,116,14,3.45914742451155,4,0.722723725624133
"33","Bolivia",2006,1.67777777777778,0.694539249146758,2,1,0.818687960237599,0.796365061395565,96,353,553,168,585,380,187,20,3.30481809242871,3,0.792128096091297
"34","Bolivia",2007,1.46299483648881,0.646413502109705,2,0,0.772541683573617,0.770468035944473,125,451,509,77,613,400,150,22,3.35370051635112,4,0.769592824868652
"35","Bolivia",2008,1.43278404163053,0.599134199134199,1,0,0.835954608197916,0.727879528831146,164,423,469,97,620,388,137,10,NA,NA,NA
"36","Bolivia",2009,1.58064516129032,0.792985457656116,2,1,0.78366864284722,0.80234165037855,96,424,536,122,503,424,223,19,3.20565552699229,3,0.802356453084318
"37","Bolivia",2010,1.56423611111111,0.70293609671848,2,1,0.791597120727805,0.78656063303972,105,406,527,114,562,397,180,19,3.30131004366812,3,0.781700693739677
"38","Bolivia",2011,1.54726799653079,0.798791018998273,2,1,0.793678307233137,0.783427252860331,99,445,488,121,470,476,187,25,3.19859402460457,3,0.783019969754121
"39","Bolivia",2013,1.61396131202691,0.75043630017452,2,1,0.844774112726168,0.828859784945777,116,394,512,167,536,396,178,36,NA,NA,NA
"40","Bolivia",2015,1.56896551724138,0.801220575414124,2,1,0.813222670514286,0.769555010237875,102,435,484,139,459,474,197,17,NA,NA,NA
"41","Bolivia",2016,NA,0.724675324675325,NA,1,NA,0.795593776299355,0,0,0,0,540,421,166,28,NA,NA,NA
"42","Bolivia",2017,NA,0.648809523809524,NA,0,NA,0.770718555763764,0,0,0,0,609,390,158,19,NA,NA,NA
"43","Bolivia",2018,NA,0.570943075615973,NA,0,NA,0.73327511355904,0,0,0,0,662,373,127,15,NA,NA,NA
"44","Bolivia",2020,1.22750424448217,0.671221178479932,1,0,0.914821255240002,0.791201700819803,284,447,342,105,598,384,165,24,NA,NA,NA
"45","Bolivia",2023,1.27580372250423,0.613287904599659,1,0,0.925729676026826,0.78911645622836,266,446,348,122,647,367,127,33,NA,NA,NA
"46","Brasil",1995,1.30788804071247,0.729059829059829,1,1,1.0445251564204,0.859263399215743,304,421,241,213,577,389,148,56,3.26926406926407,3,0.861892477852414
"47","Brasil",1996,1.32432432432432,0.679738562091503,1,0,0.922932913798358,0.777697492300359,235,359,375,104,538,350,171,12,3.27931769722814,3,0.787318621572173
"48","Brasil",1997,1.24165824064712,0.806945863125638,1,1,0.986366415154467,0.855938457051952,250,390,209,140,420,379,129,51,3.18988648090815,3,0.85706886103431
"49","Brasil",1998,1.17237903225806,0.840242669362993,1,1,0.958010038880193,0.833726295731205,276,377,231,108,395,397,157,40,NA,NA,NA
"50","Brasil",2000,1.08704453441296,0.597349643221203,1,0,0.953059473868224,0.77456578294853,327,330,249,82,550,297,113,21,3.40330920372285,4,0.774001333816404
"51","Brasil",2001,1.29162462159435,0.865702479338843,1,1,0.991234555388988,0.886845916574946,242,360,247,142,392,376,138,62,3.13347236704901,3,0.888875539931341
"52","Brasil",2002,1.09330628803245,0.573787409700722,1,0,0.954506182423819,0.780028474929489,319,344,235,88,563,282,98,26,3.43085106382979,4,0.778098306513712
"53","Brasil",2003,1.18212478920742,0.661616161616162,1,0,0.906917180673167,0.802255506703951,311,436,351,88,621,378,159,30,3.35239085239085,4,0.779243944417299
"54","Brasil",2004,1.12919463087248,0.835996635828427,1,1,0.958458752138731,0.865062298989763,370,408,304,110,512,406,225,46,3.16666666666667,3,0.865226661706684
"55","Brasil",2005,1.3851976450799,0.668901927912825,1,0,0.938145727586997,0.821387893598168,237,402,405,145,624,381,147,41,3.3347788378144,4,0.819031105583228
"56","Brasil",2006,1.74264087468461,0.857751277683135,2,1,0.905114586033028,0.862817438957617,118,325,491,255,483,424,218,49,3.16819571865443,3,0.860260820927274
"57","Brasil",2007,1.45469940728196,0.669185558354324,2,0,0.852129147075875,0.794761795079075,173,407,492,109,612,387,166,26,3.33157894736842,4,0.792116089862961
"58","Brasil",2008,1.61589958158996,0.806779661016949,2,1,0.82704389118589,0.835973305712674,126,348,580,141,510,426,206,38,NA,NA,NA
"59","Brasil",2009,1.62541806020067,0.817567567567568,2,1,0.876560075331513,0.838927481480929,135,362,515,184,503,435,205,41,3.18602620087336,3,0.841128331434796
"60","Brasil",2010,1.6234096692112,0.882805816937553,2,1,0.865679264159302,0.894687707110031,148,303,573,155,485,395,230,59,3.11873350923483,3,0.898439069044949
"61","Brasil",2011,1.49916805324459,0.68671679197995,2,1,0.83156862899208,0.791636253181708,159,390,547,106,593,414,162,28,3.32485156912638,4,0.785361535286436
